('Sahin Mersin', '2023-06-12', 'Morning:', '12:09', 'Lunch Exit:', '12:43', 'Lunch Enter:', '12:8', 'Exit:', '17:18', 'Total work: ', '5', 'hours')
('Sahin Mersin', '2023-06-29', 'Morning:', '12:15', 'Lunch Exit:', '12:01', 'Lunch Enter:', '13:0', 'Exit:', '23:59', 'Total work: ', '10', 'hours')
('Sahin Mersin', '2023-06-30', 'Morning:', '12:35', 'Lunch Exit:', '12:29', 'Lunch Enter:', '13:35', 'Exit:', '23:27', 'Total work: ', '10', 'hours')
('Sahin Mersin', '2023-07-01', 'Morning:', '11:11', 'Lunch Exit:', '13:51', 'Lunch Enter:', '13:26', 'Exit:', '18:39', 'Total work: ', '7', 'hours')
('Sahin Mersin', '2023-07-02', 'Morning:', '11:53', 'Lunch Exit:', '12:55', 'Lunch Enter:', '13:12', 'Exit:', '22:27', 'Total work: ', '10', 'hours')
('Sahin Mersin', '2023-07-03', 'Morning:', '11:18', 'Lunch Exit:', '12:35', 'Lunch Enter:', '12:32', 'Exit:', '17:12', 'Total work: ', '6', 'hours')
('Sahin Mersin', '2023-07-04', 'Morning:', '11:12', 'Lunch Exit:', '13:42', 'Lunch Enter:', '12:44', 'Exit:', '20:10', 'Total work: ', '10', 'hours')
('Sahin Mersin', '2023-07-05', 'Morning:', '11:08', 'Lunch Exit:', '12:05', 'Lunch Enter:', '12:51', 'Exit:', '23:57', 'Total work: ', '12', 'hours')
('Sahin Mersin', '2023-07-06', 'Morning:', '10:45', 'Lunch Exit:', '13:22', 'Lunch Enter:', '12:31', 'Exit:', '23:23', 'Total work: ', '14', 'hours')
('Sahin Mersin', '2023-07-07', 'Morning:', '11:55', 'Lunch Exit:', '13:12', 'Lunch Enter:', '13:6', 'Exit:', '22:26', 'Total work: ', '11', 'hours')
('Sahin Mersin', '2023-07-08', 'Morning:', '08:56', 'Lunch Exit:', '12:00', 'Lunch Enter:', '12:12', 'Exit:', '17:23', 'Total work: ', '9', 'hours')
('Sahin Mersin', '2023-07-09', 'Morning:', '10:12', 'Lunch Exit:', '12:54', 'Lunch Enter:', '13:27', 'Exit:', '18:01', 'Total work: ', '7', 'hours')
('Sahin Mersin', '2023-07-10', 'Morning:', '11:42', 'Lunch Exit:', '13:43', 'Lunch Enter:', '12:23', 'Exit:', '19:38', 'Total work: ', '9', 'hours')
('Sahin Mersin', '2023-07-11', 'Morning:', '10:27', 'Lunch Exit:', '12:44', 'Lunch Enter:', '13:27', 'Exit:', '20:47', 'Total work: ', '9', 'hours')
('Sahin Mersin', '2023-07-12', 'Morning:', '12:04', 'Lunch Exit:', '13:18', 'Lunch Enter:', '13:3', 'Exit:', '21:46', 'Total work: ', '9', 'hours')
('Sahin Mersin', '2023-07-13', 'Morning:', '09:17', 'Lunch Exit:', '12:12', 'Lunch Enter:', '13:14', 'Exit:', '22:01', 'Total work: ', '12', 'hours')
('Sahin Mersin', '2023-07-14', 'Morning:', '08:54', 'Lunch Exit:', '13:11', 'Lunch Enter:', '12:0', 'Exit:', '17:54', 'Total work: ', '10', 'hours')
